id,normal,abnormal,unknown
33.207.78.228,1,0,0
87.73.84.167,1,0,0
19.251.215.9,1,0,0
126.213.68.69,1,0,0
116.45.210.129,1,0,0
193.112.178.1,1,0,0
130.66.242.25,1,0,0
236.121.236.218,1,0,0
121.224.246.61,1,0,0
14.220.69.108,1,0,0
138.248.94.136,0,1,0
40.214.205.157,1,0,0
89.192.169.165,1,0,0
49.103.129.228,1,0,0
19.87.135.23,1,0,0
19.96.27.144,1,0,0
208.86.40.80,0,1,0
36.36.87.222,1,0,0
145.215.84.7,1,0,0
108.112.139.5,1,0,0
212.135.135.4,1,0,0
141.169.232.214,1,0,0
233.217.44.221,1,0,0
84.193.21.29,1,0,0
152.38.225.107,1,0,0
84.198.240.168,0,1,0
65.3.246.139,1,0,0
166.105.243.120,1,0,0
150.207.159.61,1,0,0
202.100.219.94,1,0,0
94.128.55.9,1,0,0
6.244.202.116,1,0,0
204.25.94.244,1,0,0
144.93.76.130,1,0,0
34.34.137.139,1,0,0
85.63.50.116,1,0,0
12.144.100.110,1,0,0
211.31.137.48,1,0,0
185.20.184.58,1,0,0
123.189.63.56,1,0,0
138.57.84.172,1,0,0
9.102.238.87,1,0,0
210.9.250.214,1,0,0
101.246.32.8,1,0,0
98.184.193.223,1,0,0
223.206.195.170,1,0,0
48.103.7.182,1,0,0
170.155.202.144,1,0,0
9.180.235.195,1,0,0
49.91.7.53,1,0,0
143.171.31.136,1,0,0
183.36.99.48,1,0,0
78.209.140.98,1,0,0
31.33.166.11,1,0,0
193.233.28.91,1,0,0
108.13.244.76,1,0,0
131.74.5.97,1,0,0
84.83.106.83,1,0,0
66.139.160.29,1,0,0
127.216.37.138,0,1,0
100.62.216.96,1,0,0
254.15.52.166,1,0,0
152.165.109.79,1,0,0
221.118.203.4,1,0,0
239.249.127.69,1,0,0
25.149.233.17,1,0,0
209.73.149.58,1,0,0
113.111.6.140,1,0,0
7.48.252.252,1,0,0
81.176.67.233,1,0,0
153.19.159.68,1,0,0
88.110.95.64,1,0,0
141.58.48.155,1,0,0
137.126.97.229,1,0,0
47.243.153.48,1,0,0
36.75.109.57,1,0,0
115.91.28.237,1,0,0
34.16.236.137,1,0,0
59.237.206.74,1,0,0
252.133.64.152,1,0,0
29.253.208.194,1,0,0
159.96.225.248,1,0,0
92.147.180.12,1,0,0
175.60.179.69,1,0,0
75.158.55.221,1,0,0
198.23.149.179,1,0,0
32.88.198.149,1,0,0
125.20.163.193,1,0,0
218.172.19.168,1,0,0
193.109.126.23,1,0,0
241.242.254.150,1,0,0
180.121.233.14,1,0,0
38.199.154.215,1,0,0
173.61.56.114,1,0,0
11.121.74.46,1,0,0
169.156.142.56,1,0,0
94.99.237.4,1,0,0
201.198.80.43,1,0,0
60.136.3.55,1,0,0
204.69.42.88,1,0,0
11.148.227.193,1,0,0
211.83.232.61,1,0,0
230.158.41.61,1,0,0
237.181.41.79,1,0,0
33.32.133.72,1,0,0
105.3.244.60,1,0,0
150.124.81.125,1,0,0
141.13.134.86,1,0,0
243.48.171.186,1,0,0
108.221.175.17,1,0,0
150.193.127.71,1,0,0
81.87.89.129,1,0,0
208.136.242.186,1,0,0
231.85.173.171,1,0,0
21.115.152.17,1,0,0
192.187.183.97,1,0,0
217.36.164.218,1,0,0
125.73.84.163,1,0,0
253.6.163.51,1,0,0
120.136.20.126,1,0,0
177.144.56.142,1,0,0
4.97.29.62,1,0,0
238.19.185.233,1,0,0
241.147.103.186,1,0,0
142.138.40.111,0,1,0
85.49.116.46,1,0,0
